IP,Country,City,Temp,Weather
122.35.203.161,South Korea,Seoul,5,scattered clouds
174.217.10.111,United States,Atkinson,5,scattered clouds
187.121.176.91,Brazil,Santo Cristo,5,scattered clouds
176.114.85.116,United States,Lancaster,5,scattered clouds
174.59.204.133,United States,Lancaster,5,scattered clouds
54.209.112.174,United States,Chicago,5,scattered clouds
IP,Country,City,Temp,Weather
IP,Country,City,Temp,Weather
122.35.203.161,South Korea,Seoul,5,scattered clouds
174.217.10.111,United States,Atkinson,5,scattered clouds
187.121.176.91,Brazil,Santo Cristo,5,scattered clouds
176.114.85.116,United States,Lancaster,5,scattered clouds
174.59.204.133,United States,Lancaster,5,scattered clouds
54.209.112.174,United States,Chicago,5,scattered clouds
IP,Country,City,Temp,Weather
122.35.203.161,South Korea,Seoul,11,clear sky
174.217.10.111,United States,Atkinson,8,overcast clouds
187.121.176.91,Brazil,Santo Cristo,28,broken clouds
176.114.85.116,United States,Lancaster,6,clear sky
174.59.204.133,United States,Lancaster,6,clear sky
54.209.112.174,United States,Chicago,9,overcast clouds
IP,Country,City,Temp,Weather
122.35.203.161,South Korea,Seoul,11,clear sky
174.217.10.111,United States,Atkinson,8,overcast clouds
187.121.176.91,Brazil,Santo Cristo,28,broken clouds
176.114.85.116,United States,Lancaster,6,clear sky
174.59.204.133,United States,Lancaster,6,clear sky
54.209.112.174,United States,Chicago,9,overcast clouds
IP,Country,City,Temp,Weather
IP,Country,City,Temp,Weather
IP,Country,City,Temp,Weather
IP,Country,City,Temp,Weather
122.35.203.161,South Korea,Seoul,3,clear sky
174.217.10.111,United States,Atkinson,3,clear sky
187.121.176.91,Brazil,Santo Cristo,3,clear sky
176.114.85.116,United States,Lancaster,3,clear sky
174.59.204.133,United States,Lancaster,3,clear sky
54.209.112.174,United States,Chicago,3,clear sky
IP,Country,City,Temp,Weather
122.35.203.161,South Korea,Seoul,9,clear sky
174.217.10.111,United States,Atkinson,9,overcast clouds
187.121.176.91,Brazil,Santo Cristo,24,scattered clouds
176.114.85.116,United States,Lancaster,9,scattered clouds
174.59.204.133,United States,Lancaster,9,scattered clouds
54.209.112.174,United States,Chicago,9,overcast clouds
IP,Country,City,Temp,Weather
IP,Country,City,Temp,Weather
IP,Country,City,Temp,Weather
IP,Country,City,Temp,Weather
IP,Country,City,Temp,Weather
IP,Country,City,Temp,Weather
IP,Country,City,Temp,Weather
IP,Country,City,Temp,Weather
IP,Country,City,Temp,Weather
IP,Country,City,Temp,Weather
IP,Country,City,Temp,Weather
